field,file,year,dimmsee (arcsec),magzpt,exp (S),type
NSF2,c4d_160727_101812_ooi_i_v1,2016,nan,25.31243,20.0,image
NSF2,c4d_160727_101723_ooi_i_v1,2016,nan,25.33542,20.0,image
NSF2,c4d_160727_101948_ooi_i_v1,2016,nan,25.26542,20.0,image
NSF2,c4d_160727_101858_ooi_i_v1,2016,nan,25.26343,20.0,image
NSF2,c4d_160727_101634_ooi_i_v1,2016,nan,25.32142,20.0,image
